assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,year,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-105.10472,19.563055
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-105.08833,19.554445
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-105.088,19.554
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-105.086,19.522
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-105.085556,19.521944
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-104.69,19.1872
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-104.364,19.0781
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-104.333,19.0333
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-104.32,19.0622
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-104.25,19.067
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-101.667,17.667
