country,city,coffee_in_cafe,cost_beer,cost_coworking,cost_nomad,female_friendly,fragile_states_index,free_wifi_available,freedom_score,friendly_to_foreigners,internet_speed,life_score,nightlife,nomad_score,places_to_work,racism,safety
Australia,Wollongong,5.66,5.66,226.4,2561,1.0,22.5,1.0,0.8,1.0,50,0.87,0.6,0.8,0.8,0.8,0.8
Germany,Nuremberg,4.3,4.3,160.22,2376,1.0,28.6,0.4,0.8,0.8,16,0.85,0.6,0.8,0.8,0.8,1.0
South Korea,Daegu,3.13,3.13,21.35,1708,0.8,36.1,1.0,0.6,0.8,30,0.87,1.0,0.8,1.0,0.6,1.0
South Korea,Busan,3.44,3.44,21.35,1716,0.8,36.1,1.0,0.6,0.8,31,0.87,0.91,0.8,1.0,0.6,1.0
Netherlands,Rotterdam,5.38,5.38,161.3,3041,0.6,28.2,0.8,1.0,0.8,50,0.84,0.8,0.8,0.8,0.8,0.6
United States,Rotterdam,5.38,5.38,161.3,3041,0.6,28.2,0.8,1.0,0.8,50,0.84,0.8,0.8,0.8,0.8,0.6
Portugal,Braga,2.15,2.15,129.04,1322,0.8,29.2,1.0,0.8,1.0,29,0.83,0.6,0.8,0.4,0.6,0.8
United States,Phoenix,5.0,5.0,250.0,2729,1.0,34.0,0.6,0.6,0.4,40,0.81,0.6,0.8,0.8,0.8,0.8
United States,Rochester,5.0,5.0,200.0,3015,0.8,34.0,0.4,0.6,0.8,22,0.84,0.6,0.8,0.8,0.8,0.6
United States,Rochester,5.0,5.0,200.0,3015,0.8,34.0,0.4,0.6,0.8,22,0.84,0.6,0.8,0.8,0.8,0.6
United Kingdom,Rochester,5.0,5.0,200.0,3015,0.8,34.0,0.4,0.6,0.8,22,0.84,0.6,0.8,0.8,0.8,0.6
United States,Rochester,5.0,5.0,200.0,3015,0.8,34.0,0.4,0.6,0.8,22,0.84,0.6,0.8,0.8,0.8,0.6
United States,Rochester,5.0,5.0,200.0,3015,0.8,34.0,0.4,0.6,0.8,22,0.84,0.6,0.8,0.8,0.8,0.6
Netherlands,Leiden,5.38,5.38,188.18,3469,1.0,28.2,0.8,1.0,1.0,17,0.92,0.8,0.8,0.8,0.8,1.0
United States,Orlando,5.0,5.0,200.0,2796,0.8,34.0,0.4,0.6,0.8,66,0.83,0.6,0.8,0.8,0.8,0.6
Netherlands,Eindhoven,5.38,5.38,241.95,3271,1.0,28.2,0.8,1.0,0.8,59,0.89,0.6,0.79,0.8,0.8,1.0
United Kingdom,Bristol,4.37,4.37,224.55,3461,1.0,32.4,0.42,0.6,1.0,0,0.89,0.8,0.79,0.8,1.0,1.0
United States,Bristol,4.37,4.37,224.55,3461,1.0,32.4,0.42,0.6,1.0,0,0.89,0.8,0.79,0.8,1.0,1.0
United States,Bristol,4.37,4.37,224.55,3461,1.0,32.4,0.42,0.6,1.0,0,0.89,0.8,0.79,0.8,1.0,1.0
United States,Bristol,4.37,4.37,224.55,3461,1.0,32.4,0.42,0.6,1.0,0,0.89,0.8,0.79,0.8,1.0,1.0
United States,Bristol,4.37,4.37,224.55,3461,1.0,32.4,0.42,0.6,1.0,0,0.89,0.8,0.79,0.8,1.0,1.0
United States,Bristol,4.37,4.37,224.55,3461,1.0,32.4,0.42,0.6,1.0,0,0.89,0.8,0.79,0.8,1.0,1.0
United States,Tucson,5.0,5.0,150.0,2576,0.8,34.0,0.8,0.6,1.0,15,0.82,0.4,0.79,0.8,0.8,0.6
United Kingdom,Liverpool,4.37,4.37,187.13,2715,0.8,32.4,0.6,0.6,1.0,0,0.86,0.78,0.79,0.8,1.0,1.0
United States,Asheville,5.0,5.0,260.0,3087,1.0,34.0,0.8,0.6,0.8,18,0.85,0.6,0.79,0.8,0.8,1.0
United Kingdom,Manchester,4.37,4.37,249.5,2857,0.8,32.4,0.6,0.6,0.8,0,0.84,1.0,0.79,0.8,1.0,0.6
United States,Manchester,4.37,4.37,249.5,2857,0.8,32.4,0.6,0.6,0.8,0,0.84,1.0,0.79,0.8,1.0,0.6
United States,Manchester,4.37,4.37,249.5,2857,0.8,32.4,0.6,0.6,0.8,0,0.84,1.0,0.79,0.8,1.0,0.6
United States,Manchester,4.37,4.37,249.5,2857,0.8,32.4,0.6,0.6,0.8,0,0.84,1.0,0.79,0.8,1.0,0.6
United States,Manchester,4.37,4.37,249.5,2857,0.8,32.4,0.6,0.6,0.8,0,0.84,1.0,0.79,0.8,1.0,0.6
United States,Manchester,4.37,4.37,249.5,2857,0.8,32.4,0.6,0.6,0.8,0,0.84,1.0,0.79,0.8,1.0,0.6
United States,Manchester,4.37,4.37,249.5,2857,0.8,32.4,0.6,0.6,0.8,0,0.84,1.0,0.79,0.8,1.0,0.6
United States,Manchester,4.37,4.37,249.5,2857,0.8,32.4,0.6,0.6,0.8,0,0.84,1.0,0.79,0.8,1.0,0.6
Spain,Barcelona,5.38,5.38,215.07,3206,0.62,39.8,0.6,0.8,0.62,28,0.82,1.0,0.79,1.0,0.87,0.8
Venezuela,Barcelona,5.38,5.38,215.07,3206,0.62,39.8,0.6,0.8,0.62,28,0.82,1.0,0.79,1.0,0.87,0.8
Philippines,Barcelona,5.38,5.38,215.07,3206,0.62,39.8,0.6,0.8,0.62,28,0.82,1.0,0.79,1.0,0.87,0.8
United States,Grand Rapids,5.0,5.0,99.0,3071,1.0,34.0,0.8,0.6,0.8,26,0.85,0.8,0.79,0.8,0.8,0.8
