country,city,coffee_in_cafe,cost_beer,cost_coworking,cost_nomad,female_friendly,fragile_states_index,free_wifi_available,freedom_score,friendly_to_foreigners,internet_speed,life_score,nightlife,nomad_score,places_to_work,racism,safety,marine_species
United States,Memphis,4.38,4.38,150.0,2561,1.0,34.0,0.8,0.6,0.8,29,0.82,0.6,0.75,0.8,0.8,0.8,14
United States,Memphis,4.38,4.38,150.0,2561,1.0,34.0,0.8,0.6,0.8,29,0.82,0.6,0.75,0.8,0.8,0.8,14
United States,Boise,4.5,4.5,366.0,3076,1.0,34.0,0.8,0.6,0.8,13,0.84,1.0,0.75,0.8,0.8,0.8,14
United States,Moscow,3.79,3.79,197.02,1883,0.4,81.0,1.0,0.2,0.4,13,0.59,1.0,0.75,1.0,0.6,0.6,14
United States,Des Moines,5.0,5.0,250.0,2883,0.8,34.0,0.6,0.6,1.0,38,0.83,0.6,0.75,0.4,0.8,0.8,14
United States,Des Moines,5.0,5.0,250.0,2883,0.8,34.0,0.6,0.6,1.0,38,0.83,0.6,0.75,0.4,0.8,0.8,14
United States,Mount Vernon,4.0,4.0,458.0,3553,0.6,34.0,0.8,0.6,0.6,0,0.82,0.6,0.75,0.8,0.6,0.8,14
United States,Mount Vernon,4.0,4.0,458.0,3553,0.6,34.0,0.8,0.6,0.6,0,0.82,0.6,0.75,0.8,0.6,0.8,14
United States,Mount Vernon,4.0,4.0,458.0,3553,0.6,34.0,0.8,0.6,0.6,0,0.82,0.6,0.75,0.8,0.6,0.8,14
United States,Mount Vernon,4.0,4.0,458.0,3553,0.6,34.0,0.8,0.6,0.6,0,0.82,0.6,0.75,0.8,0.6,0.8,14
United States,Mount Vernon,4.0,4.0,458.0,3553,0.6,34.0,0.8,0.6,0.6,0,0.82,0.6,0.75,0.8,0.6,0.8,14
United States,Knoxville,5.0,5.0,90.0,2334,1.0,34.0,0.8,0.6,0.8,13,0.81,0.4,0.75,0.4,0.8,0.8,14
United States,Belgrade,1.35,1.35,87.43,1014,0.8,72.0,0.62,0.6,0.82,10,0.71,1.0,0.74,0.8,0.62,0.8,14
United States,Provo,5.0,5.0,406.26,3013,0.8,34.0,0.6,0.6,0.8,80,0.84,0.8,0.74,0.6,0.8,0.8,14
United States,Ogden,5.0,5.0,79.0,2617,0.0,34.0,0.0,0.6,0.8,56,0.8,0.8,0.74,0.6,0.8,0.8,14
United States,Ogden,5.0,5.0,79.0,2617,0.0,34.0,0.0,0.6,0.8,56,0.8,0.8,0.74,0.6,0.8,0.8,14
United States,Ogden,5.0,5.0,79.0,2617,0.0,34.0,0.0,0.6,0.8,56,0.8,0.8,0.74,0.6,0.8,0.8,14
United States,Reno,5.0,5.0,300.0,2604,0.8,34.0,0.6,0.6,0.6,13,0.8,1.0,0.74,0.2,0.8,0.6,14
United States,Birmingham,4.37,4.37,342.44,3367,1.0,32.4,0.6,0.6,0.8,0,0.88,0.4,0.74,0.8,1.0,1.0,14
United States,Birmingham,4.37,4.37,342.44,3367,1.0,32.4,0.6,0.6,0.8,0,0.88,0.4,0.74,0.8,1.0,1.0,14
United States,Virginia Beach,5.59,5.59,139.0,2243,0.8,34.0,0.8,0.6,0.6,27,0.83,0.8,0.74,0.4,0.6,0.8,14
United States,Battle Creek,1.89,1.89,132.98,1310,0.6,34.0,0.8,0.6,0.6,34,0.78,0.6,0.74,0.6,0.6,0.6,14
United States,Paris,8.06,8.06,322.6,3944,0.8,34.5,0.6,0.6,0.64,15,0.81,1.0,0.74,0.8,0.8,0.6,14
United States,Paris,8.06,8.06,322.6,3944,0.8,34.5,0.6,0.6,0.64,15,0.81,1.0,0.74,0.8,0.8,0.6,14
United States,Paris,8.06,8.06,322.6,3944,0.8,34.5,0.6,0.6,0.64,15,0.81,1.0,0.74,0.8,0.8,0.6,14
United States,Paris,8.06,8.06,322.6,3944,0.8,34.5,0.6,0.6,0.64,15,0.81,1.0,0.74,0.8,0.8,0.6,14
